serie, crianças, ferias, filme, semana ou fim de semana, [acao, aventura, comedia, romance, terror, suspense, animacao, drama]
"Drama","0","0","Ação Aventura","0","10","10","8","9","7","8","5","7"
"Drama","0","0","Ação Aventura","1","8","8","2","2","0","2","2","10"
"Drama","0","0","Ação Aventura","1","10","10","10","2","10","10","10","2"
"Drama","0","0","Animação Aventura Drama","1","7","10","10","9","7","8","9","7"
"Aventura Ação Drama","0","1","Ação Aventura","0","9","10","10","8","0","0","6","5"
"Ação","1","0","Ação Aventura","0","8","10","10","7","3","7","10","7"
"Terror","0","0","Comédia Drama Romance","1","9","10","10","7","9","9","9","6"
"Drama","0","0","Ação Comédia Suspense Aventura","1","7","10","8","7","8","8","9","8"
"Suspense","0","0","Drama","0","8","9","7","9","7","8","8","7"
"Suspense","0","0","Drama Suspense"1","4","5","5","6","5","8","7","9"
"Drama","0","0","Drama","0","10","7","10","7","8","9","7","7"
"Drama","0","0","Comédia Romance Drama","0","10","8","10","10","3","9","5","0"
"Suspense Drama","0","0","Ação Aventura","1","7","10","9","8","8","9","10","9"
"Suspense Drama","0","0","Aventura Suspense","1","8","10","7","6","9","9","8","7"
"Drama, Comédia","0","0","Ação Aventura","0","8","10","7","4","2","4","10","7"
"Drama, Comédia","0","0","Ação Aventura","1","10","10","8","5","8","7","6","5"
"Animação","0","0","Animação Suspense","1","7","7","8","5","4","7","9","7"
"Comédia","0","0","Ação, Aventura","0","5","7","10","9","7","9","10","8"
"Ação Drama","0","0","Ação Aventura","0","10","10","10","06","07","07","10","06"
"Comédia Romance","0","0","Ação Aventura, Drama ","0","10","9","8","3","3","3","5","7"
"Comédia Romance","0","0","Ação Aventura","1","10","10","10","8","5","5","10","9"
"Comédia Romance","0","0","Ação Aventura","1","7","8","8","8","5","4","9","7"
"Comédia Drama","0","0","Terror Suspense Drama","1","7","8","8","10","3","3","10","10"
"Comédia Drama Romance","0","0","Ação Aventura Romance ","0","5","5","10","9","5","5","10","8"
"Ação","0","0"," Ação Aventura","1","8","8","7","6","4","4","6","3"
"Drama Romance","0","0","Ação Aventura","0","2","3","3","2","4","1","6","7"
"Drama Romance","0","0","Ação Aventura Drama Suspense","1","10","7","8","7","6","5","6","8"
"Drama Romance","0","0","Comédia Aventura","1","9","9","10","10","6","7","10","5"
"Comédia Drama","0","0","Animação Comédia Aventura","0","9","9","10","10","0","10","10","7"
"Comédia Drama","0","0","Ação Aventura","0","9","9","7","8","0","6","10","8"
"Terror Suspense","1","0","Animação Comédia, Aventura","0","9","8","8","5","10","10","10","7"
"Terror Suspense","0","0","Aventura Drama","1","8","8","8","9","9","10","7","8"
"Drama Suspense ","1","0","Drama ","1","7","9","9","8","0","4","7","6"
"Terror Suspense","0","0","Ação Aventura","1","10","10","10","9","5","8","5","5"
"Comédia","0","0","Ação Aventura","0","9","9","9","5","8","9","6","8"
"Ação Suspense","0","0","Romance","1","9","5","9","7","0","5","8","4"
"Ação Suspenses","0","0","Comédia Aventura","1","3","3","5","7","0","3","7","7"
"Ação Suspenses","0","0","Ação Aventura","0","9","9","8","6","3","8","9","7"
"‎Aventura‎ ‎Drama‎","0","0","Ação Aventura","1","10","10","8","10","5","7","10","4"
"‎Drama‎ ‎Suspense","1","0","Ação Aventura","1","9","8","9","7","5","10","8","7"
"‎Drama‎ ‎Suspense","0","0","Ação Aventura","1","5","7","10","4","0","2","9","7"
"‎Drama‎ ‎Suspense","0","1","Ação Aventura","0","10","10","9","8","5","5","10","5"
"‎Drama‎ ‎Suspense","0","0","Ação Aventura","0","10","10","10","10","0","3","10","7"
"‎Drama‎ ‎Suspense","0","0","Ação Aventura","0","9","7","10","10","3","3","8","10"
"‎Drama‎ ‎Suspense","1","0","Ação Aventura","0","10","10","10","10","2","3","10","4"
"‎Drama‎ ‎Suspense","0","0","Drama","0","8","8","9","8","9","9","9","9"
"‎Drama‎ ‎Suspense","0","0","Comédia Romance","1","4","10","10","10","0","4","10","5"
"‎Drama‎ ‎Suspense","0","0","Terror Drama Suspense Aventura","0","6","6","8","8","8","10","10","8"
"‎Drama‎ ‎Suspense","0","0","Ação Aventura","1","10","10","10","5","0","0","10","10"
"‎Drama‎ ‎Suspense","0","0","Comédia Romance","1","7","7","7","8","0","2","9","9"
"Aventura ‎Drama‎","0","0","Ação Aventura","1","10","10","6","8","2","10","10","8"
